Código,Município,UF,Arroz Inundado,Café,Cana-de-Açúcar Irrigada,"Outras Culturas em Pivôs Centrais (exceto arroz, café e cana)","Pivôs Centrais - Total (considerando sobreposição com arroz, café e cana)",Outras culturas e sistemas,Área Total Irrigada,Cana-de-Açúcar Fertirrigada,Área Total (Irrigada e Fertirrigada),Grupo Predominante no Município,Sistema Predominante no Município,AAI com água superficial em agricultura de sequeiro,AAI com água superficial em pastagem,AAI com água subterrânea,AAI - Potencial Total,AAI - Potencial Efetivo
2502706,Borborema,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2502805,Brejo do Cruz,PB,0,0,0,0,0,0,0,0,0,,,12,54,0,66,0
2502904,Brejo dos Santos,PB,0,0,0,0,0,5,5,0,5,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2503001,Caaporã,PB,0,0,"3,580",0,0,0,"3,580",0,"3,580",Cana irrigada,Outros ou sem predominância,0,0,48,48,0
2503100,Cabaceiras,PB,0,0,0,0,0,55,55,0,55,Outras culturas e sistemas,Localizada,146,427,0,573,0
2503209,Cabedelo,PB,0,0,0,0,0,0,0,0,0,,,28,12,10,51,28
2503308,Cachoeira dos Índios,PB,0,0,0,0,0,2,2,0,2,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2503407,Cacimba de Areia,PB,0,0,0,0,0,39,39,0,39,Outras culturas e sistemas,Aspersão - Outros,39,7,0,46,0
2503506,Cacimba de Dentro,PB,0,0,0,0,0,0,0,0,0,,,74,297,0,371,0
2503555,Cacimbas,PB,0,0,0,0,0,5,5,0,5,Outras culturas e sistemas,Localizada,0,0,0,0,0
2503605,Caiçara,PB,0,0,37,0,0,0,37,0,37,Cana irrigada,Outros ou sem predominância,3,0,0,3,0
2503704,Cajazeiras,PB,0,0,0,0,0,24,24,0,24,Outras culturas e sistemas,Aspersão - Outros,42,229,0,271,0
2503753,Cajazeirinhas,PB,0,0,0,0,0,46,46,0,46,Outras culturas e sistemas,Aspersão - Outros,160,292,0,452,0
2503803,Caldas Brandão,PB,0,0,4,0,0,0,4,0,4,Cana irrigada,Outros ou sem predominância,0,0,0,0,0
2503902,Camalaú,PB,0,0,0,0,0,30,30,0,30,Outras culturas e sistemas,Localizada,204,541,0,745,3
2504009,Campina Grande,PB,0,0,0,0,0,0,0,0,0,,,80,0,0,80,0
2504033,Capim,PB,0,0,690,42,87,0,731,0,731,Cana irrigada,Aspersão - Outros,35,0,0,35,2
2504074,Caraúbas,PB,0,0,0,0,0,0,0,0,0,,,84,9,0,93,0
2504108,Carrapateira,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2504157,Casserengue,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2504207,Catingueira,PB,0,0,0,0,0,20,20,0,20,Outras culturas e sistemas,Aspersão - Outros,4,226,0,230,0
2504306,Catolé do Rocha,PB,0,0,0,0,0,80,80,0,80,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2504355,Caturité,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2504405,Conceição,PB,0,0,0,0,0,73,73,0,73,Outras culturas e sistemas,Aspersão - Outros,76,154,0,230,0
2504504,Condado,PB,0,0,0,0,0,25,25,0,25,Outras culturas e sistemas,Outros ou sem predominância,90,0,0,90,0
2504603,Conde,PB,0,0,"1,285",0,0,21,"1,306",0,"1,306",Cana irrigada,Aspersão - Outros,"1,025",288,10,"1,323","1,025"
2504702,Congo,PB,0,0,0,0,0,31,31,0,31,Outras culturas e sistemas,Localizada,4,27,0,31,0
2504801,Coremas,PB,0,0,0,0,0,75,75,0,75,Outras culturas e sistemas,Aspersão - Outros,402,"1,275",0,"1,678",0
2504850,Coxixola,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2504900,Cruz do Espírito Santo,PB,0,0,"1,646",133,133,0,"1,779",0,"1,779",Cana irrigada,Aspersão - Outros,22,0,18,39,22
2505006,Cubati,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2505105,Cuité,PB,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Localizada,214,0,0,214,0
2505204,Cuitegi,PB,0,0,36,0,0,0,36,0,36,Cana irrigada,Aspersão - Outros,0,0,0,0,0
2505238,Cuité de Mamanguape,PB,0,0,432,37,37,0,469,0,469,Cana irrigada,Aspersão - Outros,74,563,0,637,14
2505279,Curral de Cima,PB,0,0,87,0,0,0,87,0,87,Cana irrigada,Aspersão - Outros,10,0,0,10,9
2505303,Curral Velho,PB,0,0,0,0,0,43,43,0,43,Outras culturas e sistemas,Aspersão - Outros,45,200,0,245,0
2505352,Damião,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2505402,Desterro,PB,0,0,0,0,0,25,25,0,25,Outras culturas e sistemas,Localizada,0,0,0,0,0
2505501,Vista Serrana,PB,0,0,0,0,0,18,18,0,18,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2505600,Diamante,PB,0,0,0,0,0,6,6,0,6,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2505709,Dona Inês,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2505808,Duas Estradas,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2505907,Emas,PB,0,0,0,0,0,24,24,0,24,Outras culturas e sistemas,Outros ou sem predominância,81,66,0,147,0
2506004,Esperança,PB,0,0,0,0,0,3,3,0,3,Outras culturas e sistemas,Localizada,0,0,0,0,0
2506103,Fagundes,PB,0,0,0,0,0,0,0,0,0,,,9,0,0,9,0
2506202,Frei Martinho,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2506251,Gado Bravo,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2506301,Guarabira,PB,0,0,2,0,0,5,8,0,8,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2506400,Gurinhém,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2506509,Gurjão,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2506608,Ibiara,PB,0,0,0,0,0,64,64,0,64,Outras culturas e sistemas,Outros ou sem predominância,4,191,0,195,0
2506707,Imaculada,PB,0,0,0,0,0,3,3,0,3,Outras culturas e sistemas,Outros ou sem predominância,0,7,0,7,0
2506806,Ingá,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2506905,Itabaiana,PB,0,0,0,0,0,7,7,0,7,Outras culturas e sistemas,Aspersão - Outros,1,0,0,1,1
2507002,Itaporanga,PB,0,0,0,0,0,62,62,0,62,Outras culturas e sistemas,Aspersão - Outros,123,0,0,123,0
2507101,Itapororoca,PB,0,0,587,0,0,0,587,0,587,Cana irrigada,Aspersão - Outros,26,0,0,26,15
2507200,Itatuba,PB,0,0,0,0,0,4,4,0,4,Outras culturas e sistemas,Localizada,3,115,0,117,0
2507309,Jacaraú,PB,0,0,776,0,0,48,823,0,823,Cana irrigada,Aspersão - Outros,82,0,11,93,37
2507408,Jericó,PB,0,0,0,0,0,86,86,0,86,Outras culturas e sistemas,Aspersão - Outros,19,233,0,252,0
2507507,João Pessoa,PB,0,0,137,0,0,0,137,0,137,Cana irrigada,Aspersão - Outros,492,138,0,629,492
2507606,Juarez Távora,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2507705,Juazeirinho,PB,0,0,0,0,0,0,0,0,0,,,24,11,0,35,0
2507804,Junco do Seridó,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2507903,Juripiranga,PB,0,0,280,0,0,23,303,0,303,Cana irrigada,Aspersão - Outros,1,0,0,1,0
2508000,Juru,PB,0,0,0,0,0,56,56,0,56,Outras culturas e sistemas,Localizada,96,11,0,107,0
2508109,Lagoa,PB,0,0,0,0,0,42,42,0,42,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2508208,Lagoa de Dentro,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2508307,Lagoa Seca,PB,0,0,0,0,0,28,28,0,28,Outras culturas e sistemas,Localizada,0,0,0,0,0
2508406,Lastro,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2508505,Livramento,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2508554,Logradouro,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2508604,Lucena,PB,0,0,"1,222",0,45,0,"1,222",0,"1,222",Cana irrigada,Outros ou sem predominância,161,80,0,240,161
2508703,Mãe d'Água,PB,0,0,0,0,0,0,0,0,0,,,8,155,0,163,0
2508802,Malta,PB,0,0,0,0,0,14,14,0,14,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2508901,Mamanguape,PB,0,0,"3,419",167,217,414,"4,000",0,"4,000",Cana irrigada,Aspersão - Outros,105,0,0,105,69
2509008,Manaíra,PB,0,0,0,0,0,0,0,0,0,,,29,98,0,127,0
2509057,Marcação,PB,0,0,"1,187",0,0,0,"1,187",0,"1,187",Cana irrigada,Aspersão - Outros,5,0,0,5,0
2509107,Mari,PB,0,0,385,80,80,232,698,0,698,Cana irrigada,Outros ou sem predominância,4,0,0,4,4
2509156,Marizópolis,PB,0,0,0,0,0,33,33,0,33,Outras culturas e sistemas,Localizada,21,38,0,59,0
2509206,Massaranduba,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2509305,Mataraca,PB,0,0,"2,055",0,199,4,"2,058",0,"2,058",Cana irrigada,Aspersão - Outros,452,124,35,612,412
2509339,Matinhas,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2509370,Mato Grosso,PB,0,0,0,0,0,13,13,0,13,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2509396,Maturéia,PB,0,0,0,0,0,2,2,0,2,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2509404,Mogeiro,PB,0,0,0,0,0,7,7,0,7,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2509503,Montadas,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2509602,Monte Horebe,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2509701,Monteiro,PB,0,0,0,0,0,0,0,0,0,,,68,167,0,235,0
2509800,Mulungu,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2509909,Natuba,PB,0,0,0,0,0,0,0,0,0,,,121,934,0,"1,055",0
2510006,Nazarezinho,PB,0,0,0,0,0,73,73,0,73,Outras culturas e sistemas,Localizada,0,0,0,0,0
2510105,Nova Floresta,PB,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Localizada,0,0,0,0,0
2510204,Nova Olinda,PB,0,0,0,0,0,105,105,0,105,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2510303,Nova Palmeira,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2510402,Olho d'Água,PB,0,0,0,0,0,17,17,0,17,Outras culturas e sistemas,Aspersão - Outros,18,25,0,44,0
2510501,Olivedos,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2510600,Ouro Velho,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2510659,Parari,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2510709,Passagem,PB,0,0,0,0,0,17,17,0,17,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2510808,Patos,PB,0,0,0,0,0,26,26,0,26,Outras culturas e sistemas,Aspersão - Outros,72,9,0,81,0
2510907,Paulista,PB,0,0,0,0,0,558,558,0,558,Outras culturas e sistemas,Aspersão - Outros,"1,215","2,044",0,"3,259",0
2511004,Pedra Branca,PB,0,0,0,0,0,53,53,0,53,Outras culturas e sistemas,Aspersão - Outros,87,78,0,165,0
2511103,Pedra Lavrada,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2511202,Pedras de Fogo,PB,0,0,"3,544",113,113,0,"3,657",0,"3,657",Cana irrigada,Aspersão - Outros,0,0,25,26,0
2511301,Piancó,PB,0,0,0,0,0,209,209,0,209,Outras culturas e sistemas,Aspersão - Outros,25,54,0,78,0
2511400,Picuí,PB,0,0,0,0,0,0,0,0,0,,,111,0,0,111,0
2511509,Pilar,PB,0,0,1,0,0,0,1,0,1,Cana irrigada,Aspersão - Outros,3,0,0,3,3
2511608,Pilões,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2511707,Pilõezinhos,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2511806,Pirpirituba,PB,0,0,76,0,0,0,76,0,76,Cana irrigada,Outros ou sem predominância,0,0,0,0,0
2511905,Pitimbu,PB,0,0,"1,292",0,0,46,"1,338",0,"1,338",Cana irrigada,Aspersão - Outros,596,376,18,990,596
2512002,Pocinhos,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512036,Poço Dantas,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512077,Poço de José de Moura,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512101,Pombal,PB,0,0,0,0,0,657,657,0,657,Outras culturas e sistemas,Localizada,"1,333","2,224",0,"3,557",0
2512200,Prata,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512309,Princesa Isabel,PB,0,0,0,0,0,0,0,0,0,,,5,44,0,49,0
2512408,Puxinanã,PB,0,0,0,0,0,0,0,0,0,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2512507,Queimadas,PB,0,0,0,37,37,0,37,0,37,Pivôs centrais,Aspersão - Pivôs Centrais,0,0,0,0,0
2512606,Quixaba,PB,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Localizada,0,0,0,0,0
2512705,Remígio,PB,0,0,0,0,0,0,0,0,0,Outras culturas e sistemas,Localizada,0,0,0,0,0
2512721,Pedro Régis,PB,0,0,94,0,0,0,94,0,94,Cana irrigada,Aspersão - Outros,12,0,0,12,1
2512747,Riachão,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512754,Riachão do Bacamarte,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512762,Riachão do Poço,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512788,Riacho de Santo Antônio,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2512804,Riacho dos Cavalos,PB,0,0,0,0,0,44,44,0,44,Outras culturas e sistemas,Aspersão - Outros,110,425,0,535,0
2512903,Rio Tinto,PB,0,0,"5,914",42,42,45,"6,001",0,"6,001",Cana irrigada,Outros ou sem predominância,335,132,39,507,324
2513000,Salgadinho,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2513109,Salgado de São Félix,PB,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2513158,Santa Cecília,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2513208,Santa Cruz,PB,0,0,0,0,0,26,26,0,26,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2513307,Santa Helena,PB,0,0,0,0,0,55,55,0,55,Outras culturas e sistemas,Outros ou sem predominância,61,144,0,205,0
2513356,Santa Inês,PB,0,0,0,0,0,20,20,0,20,Outras culturas e sistemas,Localizada,23,105,0,128,0
2513406,Santa Luzia,PB,0,0,0,0,0,0,0,0,0,,,30,59,0,89,0
2513505,Santana de Mangueira,PB,0,0,0,0,0,41,41,0,41,Outras culturas e sistemas,Localizada,36,130,0,166,0
2513604,Santana dos Garrotes,PB,0,0,0,0,0,17,17,0,17,Outras culturas e sistemas,Aspersão - Outros,46,43,0,89,0
2513653,Joca Claudino,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2513703,Santa Rita,PB,0,0,"9,866",65,280,0,"9,932",0,"9,932",Cana irrigada,Aspersão - Outros,"1,025",599,70,"1,694",5
2513802,Santa Teresinha,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2513851,Santo André,PB,0,0,0,0,0,0,0,0,0,,,22,40,0,62,0
2513901,São Bento,PB,0,0,0,20,20,298,318,0,318,Outras culturas e sistemas,Aspersão - Outros,89,"1,061",0,"1,151",0
2513927,São Bentinho,PB,0,0,0,0,0,6,6,0,6,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2513943,São Domingos do Cariri,PB,0,0,0,0,0,6,6,0,6,Outras culturas e sistemas,Localizada,0,0,0,0,0
2513968,São Domingos,PB,0,0,0,0,0,113,113,0,113,Outras culturas e sistemas,Localizada,37,0,0,37,0
2513984,São Francisco,PB,0,0,0,0,0,34,34,0,34,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2514008,São João do Cariri,PB,0,0,0,0,0,15,15,0,15,Outras culturas e sistemas,Localizada,0,0,0,0,0
2514107,São João do Tigre,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2514206,São José da Lagoa Tapada,PB,0,0,0,0,0,28,28,0,28,Outras culturas e sistemas,Localizada,0,0,0,0,0
2514305,São José de Caiana,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2514404,São José de Espinharas,PB,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2514453,São José dos Ramos,PB,0,0,0,0,0,0,0,0,0,,,6,0,0,6,6
2514503,São José de Piranhas,PB,0,0,0,0,0,0,0,0,0,,,35,823,0,858,2
2514552,São José de Princesa,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2514602,São José do Bonfim,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2514651,São José do Brejo do Cruz,PB,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Outros ou sem predominância,13,109,0,123,0
2514701,São José do Sabugi,PB,0,0,0,0,0,2,2,0,2,Outras culturas e sistemas,Localizada,0,0,0,0,0
2514800,São José dos Cordeiros,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2514909,São Mamede,PB,0,0,0,0,0,0,0,0,0,,,26,0,0,26,0
2515005,São Miguel de Taipu,PB,0,0,0,0,0,0,0,0,0,,,9,0,0,9,9
2515104,São Sebastião de Lagoa de Roça,PB,0,0,0,0,0,3,3,0,3,Outras culturas e sistemas,Localizada,0,0,0,0,0
2515203,São Sebastião do Umbuzeiro,PB,0,0,0,0,0,0,0,0,0,,,32,50,0,82,0
2515302,Sapé,PB,0,0,"2,428",38,246,0,"2,466",0,"2,466",Cana irrigada,Aspersão - Outros,323,0,0,323,174
2515401,São Vicente do Seridó,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2515500,Serra Branca,PB,0,0,0,0,0,5,5,0,5,Outras culturas e sistemas,Localizada,0,0,0,0,0
2515609,Serra da Raiz,PB,0,0,8,0,0,0,8,0,8,Cana irrigada,Aspersão - Outros,0,0,0,0,0
2515708,Serra Grande,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2515807,Serra Redonda,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2515906,Serraria,PB,0,0,41,0,0,0,41,0,41,Cana irrigada,Localizada,0,0,11,11,0
2515930,Sertãozinho,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2515971,Sobrado,PB,0,0,29,0,0,0,29,0,29,Cana irrigada,Aspersão - Outros,1,0,0,1,1
2516003,Solânea,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2516102,Soledade,PB,0,0,0,0,0,0,0,0,0,,,63,2,0,65,21
2516151,Sossêgo,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2516201,Sousa,PB,0,0,0,525,525,553,"1,077",0,"1,077",Outras culturas e sistemas,Localizada,229,794,0,"1,023",0
2516300,Sumé,PB,0,0,0,0,0,39,39,0,39,Outras culturas e sistemas,Localizada,90,268,0,359,0
2516409,Tacima,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2516508,Taperoá,PB,0,0,0,0,0,0,0,0,0,,,141,9,0,150,0
2516607,Tavares,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2516706,Teixeira,PB,0,0,0,0,0,48,48,0,48,Outras culturas e sistemas,Localizada,0,0,0,0,0
2516755,Tenório,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2516805,Triunfo,PB,0,0,0,0,0,62,62,0,62,Outras culturas e sistemas,Outros ou sem predominância,0,50,0,50,0
2516904,Uiraúna,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2517001,Umbuzeiro,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2517100,Várzea,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2517209,Vieirópolis,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2517407,Zabelê,PB,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2600054,Abreu e Lima,PE,0,0,417,0,0,0,417,0,417,Cana irrigada,Outros ou sem predominância,1,0,10,11,0
2600104,Afogados da Ingazeira,PE,0,0,0,0,0,0,0,0,0,,,120,123,0,243,0
2600203,Afrânio,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2600302,Agrestina,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2600401,Água Preta,PE,0,0,"2,067",0,0,0,"2,067",0,"2,067",Cana irrigada,Aspersão - Outros,286,0,0,286,12
2600500,Águas Belas,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2600609,Alagoinha,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2600708,Aliança,PE,0,0,789,0,0,0,789,0,789,Cana irrigada,Aspersão - Outros,4,0,0,4,4
2600807,Altinho,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2600906,Amaraji,PE,0,0,"1,251",0,0,183,"1,434",0,"1,434",Cana irrigada,Aspersão - Outros,54,0,0,54,6
2601003,Angelim,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2601052,Araçoiaba,PE,0,0,"1,498",0,0,0,"1,498",0,"1,498",Cana irrigada,Outros ou sem predominância,3,0,0,3,0
2601102,Araripina,PE,0,0,0,0,0,0,0,0,0,,,322,24,12,358,0
2601201,Arcoverde,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2601300,Barra de Guabiraba,PE,0,0,68,0,0,86,154,0,154,Outras culturas e sistemas,Aspersão - Outros,0,0,0,0,0
2601409,Barreiros,PE,0,0,"1,433",0,0,0,"1,433",0,"1,433",Cana irrigada,Outros ou sem predominância,441,22,15,479,396
2601508,Belém de Maria,PE,0,0,2,0,0,105,106,0,106,Outras culturas e sistemas,Aspersão - Outros,115,79,0,195,0
2601607,Belém do São Francisco,PE,0,0,0,0,0,"2,456","2,456",0,"2,456",Outras culturas e sistemas,Localizada,"2,148","5,272",0,"7,420",0
2601706,Belo Jardim,PE,0,0,0,0,0,0,0,0,0,,,60,192,0,252,0
2601805,Betânia,PE,0,0,0,0,0,0,0,0,0,,,4,228,0,231,0
2601904,Bezerros,PE,0,0,0,0,0,0,0,0,0,Outras culturas e sistemas,Localizada,0,0,0,0,0
2602001,Bodocó,PE,0,0,0,0,0,0,0,0,0,,,27,482,54,563,0
2602100,Bom Conselho,PE,0,0,0,0,0,0,0,0,0,,,423,0,0,423,0
2602209,Bom Jardim,PE,0,0,106,0,0,0,106,0,106,Cana irrigada,Localizada,0,0,0,0,0
2602308,Bonito,PE,0,0,177,0,0,"4,973","5,150",0,"5,150",Outras culturas e sistemas,Aspersão - Outros,49,98,0,147,48
2602407,Brejão,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2602506,Brejinho,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2602605,Brejo da Madre de Deus,PE,0,0,0,0,0,0,0,0,0,,,62,643,0,705,0
2602704,Buenos Aires,PE,0,0,385,0,0,0,385,0,385,Cana irrigada,Aspersão - Outros,0,0,0,0,0
2602803,Buíque,PE,0,0,0,0,0,140,140,0,140,Outras culturas e sistemas,Localizada,2,28,0,30,0
2602902,Cabo de Santo Agostinho,PE,0,0,"2,117",0,0,0,"2,117",0,"2,117",Cana irrigada,Aspersão - Outros,390,104,0,494,390
2603009,Cabrobó,PE,500,0,0,0,0,"3,878","4,378",0,"4,378",Outras culturas e sistemas,Superficial,377,293,0,670,0
2603108,Cachoeirinha,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2603207,Caetés,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2603306,Calçado,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2603405,Calumbi,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2603454,Camaragibe,PE,0,0,3,0,0,0,3,0,3,Cana irrigada,Outros ou sem predominância,0,0,0,0,0
2603504,Camocim de São Félix,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2603603,Camutanga,PE,0,0,120,0,0,0,120,0,120,Cana irrigada,Outros ou sem predominância,0,0,0,0,0
2603702,Canhotinho,PE,0,0,172,0,0,0,172,0,172,Cana irrigada,Aspersão - Outros,0,0,0,0,0
2603801,Capoeiras,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2603900,Carnaíba,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2603926,Carnaubeira da Penha,PE,0,0,0,0,0,252,252,0,252,Outras culturas e sistemas,Localizada,0,0,0,0,0
2604007,Carpina,PE,0,0,114,0,0,0,114,0,114,Cana irrigada,Aspersão - Outros,0,0,0,0,0
2604106,Caruaru,PE,0,0,0,0,0,0,0,0,0,,,27,29,0,56,0
2604155,Casinhas,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2604205,Catende,PE,0,0,"1,739",0,0,0,"1,739",0,"1,739",Cana irrigada,Outros ou sem predominância,99,0,0,99,0
2604304,Cedro,PE,0,0,0,128,128,236,364,0,364,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2604403,Chã de Alegria,PE,0,0,150,0,0,0,150,0,150,Cana irrigada,Aspersão - Outros,99,1,0,100,0
2604502,Chã Grande,PE,0,0,0,0,0,164,164,0,164,Outras culturas e sistemas,Outros ou sem predominância,0,0,0,0,0
2604601,Condado,PE,0,0,"1,147",0,0,0,"1,147",0,"1,147",Cana irrigada,Aspersão - Outros,2,0,10,13,2
2604700,Correntes,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2604809,Cortês,PE,0,0,469,0,0,0,469,0,469,Cana irrigada,Aspersão - Outros,12,0,0,12,2
2604908,Cumaru,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2605004,Cupira,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2605103,Custódia,PE,0,0,0,0,0,0,0,0,0,,,34,45,0,79,0
2605152,Dormentes,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2605202,Escada,PE,0,0,"1,210",0,0,0,"1,210",0,"1,210",Cana irrigada,Aspersão - Outros,132,0,0,132,81
2605301,Exu,PE,0,0,0,0,0,0,0,0,0,,,0,0,26,26,0
2605400,Feira Nova,PE,0,0,6,0,0,0,6,0,6,Cana irrigada,Outros ou sem predominância,634,88,0,722,634
2605459,Fernando de Noronha,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2605509,Ferreiros,PE,0,0,675,0,0,0,675,0,675,Cana irrigada,Aspersão - Outros,0,0,0,0,0
2605608,Flores,PE,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
2605707,Floresta,PE,0,0,0,0,0,712,712,0,712,Outras culturas e sistemas,Localizada,951,"15,440",0,"16,391",0
2605806,Frei Miguelinho,PE,0,0,0,0,0,0,0,0,0,,,41,"1,069",0,"1,110",0
